Employee ID        Time
1                  Wed Jul 18 15:43:09 2018
171                Wed Jul 18 15:52:18 2018
171                Wed Jul 18 16:59:29 2018
171                Wed Jul 18 17:03:32 2018
171                Wed Jul 18 17:17:00 2018
171                Wed Jul 18 17:19:44 2018
1                  Wed Jul 18 17:20:51 2018
171                Wed Jul 18 17:23:51 2018
171                Wed Jul 18 17:24:02 2018
1                  Wed Jul 18 17:26:26 2018
1                  Wed Jul 18 17:27:00 2018
1                  Wed Jul 18 17:27:11 2018
1                  Thu Jul 19 11:38:39 2018
1                  Thu Jul 19 11:58:49 2018
1                  Thu Jul 19 21:25:50 2018
55                 Thu Jul 19 22:28:43 2018
1                  Fri Jul 20 12:25:40 2018
1                  Fri Jul 20 12:25:42 2018
1                  Fri Jul 20 12:25:42 2018
1                  Fri Jul 20 12:25:42 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:25:43 2018
1                  Fri Jul 20 12:27:50 2018
1                  Fri Jul 20 12:30:15 2018
1                  Fri Jul 20 12:31:47 2018
1                  Fri Jul 20 12:32:05 2018
